,Компания,Модель,Комплектация,Тип кузова,Трансмиссия,Штат продажи,Состояние,Пробег,Цвет,Интерьер,Продавец,Оценочная стоимость,Цена продажи,День продажи,Месяц продажи,Год продажи
330237,Ford,F-150,Lariat Limited,SuperCrew,automatic,fl,45.0,40389.0,black,black,ford motor credit company llc pd,32600.0,31600.0,Wed,Mar,2015.0
330238,Ford,F-150,XLT,SuperCrew,automatic,ca,42.0,27342.0,red,gray,ford motor credit company llc pd,23600.0,25200.0,Thu,Mar,2015.0
330239,Ford,F-150,FX2,SuperCrew,automatic,fl,4.0,35518.0,white,black,ford motor credit company llc pd,26300.0,24100.0,Wed,Mar,2015.0
330240,Ford,F-150,XLT,SuperCrew,automatic,oh,44.0,28028.0,brown,tan,freedom automotive and marine brokers,23900.0,21800.0,Mon,Mar,2015.0
330245,Ford,F-150,FX4,SuperCrew,automatic,oh,38.0,74214.0,red,black,suzuki of newmarket,23700.0,20700.0,Tue,Feb,2015.0
330247,Ford,F-150,XLT,SuperCab,automatic,wa,4.0,74332.0,white,gray,xcar inc,19150.0,18600.0,Wed,Feb,2015.0
330248,Ford,F-150,Lariat,SuperCrew,automatic,oh,33.0,24186.0,black,black,u s auto importing & sales,29400.0,28200.0,Tue,Mar,2015.0
330249,Ford,F-150,FX4,SuperCrew,automatic,wa,29.0,58590.0,black,black,xcar inc,25400.0,26100.0,Wed,Feb,2015.0
330250,Ford,F-150,FX4,SuperCab,automatic,wi,48.0,51555.0,red,black,new look enterprises inc,23400.0,24600.0,Wed,Mar,2015.0
330253,Ford,F-150,Lariat,SuperCrew,automatic,ga,37.0,101647.0,silver,black,td auto finance,21700.0,20500.0,Thu,Feb,2015.0
330254,Ford,F-150,Lariat,SuperCrew,automatic,ut,27.0,109537.0,white,black,auto focus inc,20700.0,19000.0,Wed,Mar,2015.0
330256,Ford,F-150,XLT,SuperCrew,automatic,mo,38.0,60955.0,white,gray,ford-lincoln dealer program,21600.0,23900.0,Wed,Feb,2015.0
330257,Ford,F-150,XLT,SuperCrew,automatic,mo,5.0,90932.0,gold,tan,woodhouse ford inc,19350.0,19500.0,Tue,Feb,2015.0
330570,Ford,F-150,Lariat,SuperCrew,automatic,fl,31.0,56870.0,white,black,remarketing by ge/west financial acceptance,22800.0,23500.0,Wed,Feb,2015.0
330574,Ford,F-150,XLT,SuperCrew,automatic,mi,43.0,76518.0,black,tan,stratford hyundai,18300.0,18400.0,Thu,Feb,2015.0
330575,Ford,F-150,XLT,SuperCrew,automatic,tn,35.0,92424.0,white,tan,midtown motors,16950.0,14400.0,Wed,Feb,2015.0
330576,Ford,F-150,XLT,SuperCrew,automatic,oh,43.0,72193.0,silver,gray,premium cars wholesale ltd,18050.0,18800.0,Tue,Mar,2015.0
330577,Ford,F-150,XLT,SuperCrew,automatic,wi,38.0,46213.0,black,beige,new look enterprises inc,20800.0,21100.0,Wed,Feb,2015.0
330578,Ford,F-150,SVT Raptor,SuperCab,automatic,az,38.0,81955.0,white,black,plaza auto center inc,30000.0,30000.0,Thu,Mar,2015.0
330580,Ford,F-150,Lariat,SuperCrew,automatic,wa,41.0,61180.0,silver,black,xcar inc,23500.0,23000.0,Wed,Feb,2015.0
330773,Ford,F-150,XLT,SuperCrew,automatic,mi,42.0,38679.0,red,gray,larry hudson chevrolet buick gmc inc,20400.0,20900.0,Thu,Feb,2015.0
330775,Ford,F-150,XLT,SuperCrew,automatic,mi,41.0,57308.0,blue,gray,automobiles paille inc,19050.0,19300.0,Thu,Feb,2015.0
330778,Ford,F-150,XLT,SuperCab,automatic,wa,44.0,93131.0,white,gray,lexus of tacoma at fife,14650.0,13800.0,Wed,Feb,2015.0
330779,Ford,F-150,Platinum,SuperCrew,automatic,fl,28.0,186963.0,white,tan,sam galloway ford lincoln,14450.0,14700.0,Tue,Feb,2015.0
330785,Ford,F-150,XLT,SuperCab,automatic,wi,35.0,51677.0,black,beige,new look enterprises inc,17150.0,16800.0,Wed,Feb,2015.0
331007,Ford,F-150,XL,Regular Cab,automatic,ca,42.0,114343.0,gray,gray,euro coach auto net corp,5475.0,7900.0,Wed,Feb,2015.0
331009,Ford,F-150,XLT,SuperCab,automatic,ca,29.0,204024.0,white,gray,onemain rem/delta dealer,4850.0,5200.0,Wed,Feb,2015.0
331011,Ford,F-150,King Ranch,SuperCrew,automatic,fl,27.0,99672.0,black,gray,ford motor credit company llc,10150.0,12100.0,Thu,Feb,2015.0
331012,Ford,F-150,Lariat,SuperCrew,automatic,ga,4.0,114692.0,red,tan,atlanta postal credit union,12850.0,14000.0,Thu,Feb,2015.0
331013,Ford,F-150,XLT,SuperCrew,automatic,ne,39.0,59542.0,black,gray,wells fargo dealer services,17100.0,16200.0,Thu,Feb,2015.0
331014,Ford,F-150,XL,SuperCab,automatic,ga,35.0,125252.0,black,gray,munter motor cars,5725.0,8300.0,Tue,Feb,2015.0
331016,Ford,F-150,XLT,SuperCrew,automatic,ca,26.0,102286.0,black,tan,rancho ford,10800.0,10600.0,Thu,Feb,2015.0
331017,Ford,F-150,XLT,SuperCrew,automatic,fl,37.0,63078.0,blue,gray,chrysler capital,16500.0,17000.0,Thu,Feb,2015.0
331018,Ford,F-150,XL,Regular Cab,automatic,va,38.0,156901.0,blue,gray,ge capital fleet services,4275.0,5400.0,Thu,Feb,2015.0
331312,Ford,F-150,Lariat,SuperCab,automatic,ga,27.0,70794.0,off-white,black,pye auto sales,14000.0,14600.0,Thu,Mar,2015.0
331317,Ford,F-150,Lariat,SuperCrew,automatic,mo,19.0,114139.0,black,black,meridian remarketing,13950.0,14000.0,Tue,Mar,2015.0
331320,Ford,F-150,FX2,SuperCrew,automatic,ca,35.0,82026.0,red,black,aaero sweet company,12950.0,15250.0,Wed,Feb,2015.0
